NLC,Estacion,Entradas_semana,Entradas_sabado,Entradas_domingo,Salidas_semana,Salidas_sabado,Salidas_domingo,Entradas_salidas_anual_millones
756.0,West Finchley,2423.0,1267.0,708.0,2164.0,1070.0,704.0,1.37
757.0,West Ham,5258.0,4288.0,2864.0,4714.0,3880.0,2619.0,3.27
758.0,West Hampstead,15982.0,12085.0,7807.0,14479.0,9553.0,7131.0,9.71
759.0,West Harrow,1797.0,1082.0,613.0,1808.0,1170.0,652.0,1.1
760.0,West Kensington,8560.0,6034.0,4403.0,6910.0,4683.0,3687.0,4.95
761.0,Westminster,31925.0,31311.0,23020.0,32353.0,30247.0,21425.0,22.09
762.0,West Ruislip,2645.0,2017.0,1099.0,2472.0,1717.0,986.0,1.61
763.0,Whitechapel,21412.0,11897.0,8098.0,21477.0,11628.0,8252.0,13.04
764.0,White City,12702.0,6580.0,4304.0,12330.0,6547.0,4334.0,7.53
765.0,Willesden Green,13129.0,10190.0,7330.0,12201.0,8640.0,6895.0,8.23
766.0,Willesden Junction,6468.0,4343.0,2379.0,6463.0,3938.0,2448.0,3.99
767.0,Wimbledon,20137.0,13029.0,8929.0,17927.0,11635.0,8704.0,11.95
768.0,Wimbledon Park,3589.0,2434.0,1272.0,3248.0,2020.0,1227.0,2.11
769.0,Woodford,9028.0,6125.0,3489.0,6375.0,5013.0,3015.0,4.86
770.0,Wood Green,18064.0,14805.0,10352.0,17015.0,13611.0,9667.0,11.53
771.0,Woodside Park,4424.0,2504.0,1607.0,4254.0,2575.0,1793.0,2.66
773.0,Hammersmith (H&C),14633.0,10055.0,6733.0,12503.0,9282.0,6261.0,8.64
774.0,Edgware Road (Bak),7132.0,4691.0,3000.0,7071.0,4753.0,2774.0,4.43
775.0,Shepherd's Bush (H&C),5228.0,4204.0,2647.0,4782.0,3856.0,2535.0,3.26
776.0,Pimlico,16327.0,9971.0,7224.0,15409.0,9723.0,7252.0,9.91
777.0,Vauxhall,37684.0,27360.0,17381.0,33902.0,24709.0,16916.0,22.84
778.0,Brixton,39375.0,31587.0,20489.0,36606.0,29938.0,20208.0,24.82
779.0,Hatton Cross,4777.0,3525.0,2874.0,4346.0,3068.0,2358.0,2.96
780.0,Heathrow Terminals 123,11338.0,11349.0,11405.0,10127.0,10018.0,9857.0,7.8
781.0,Heathrow Terminal 4,3350.0,3817.0,4099.0,3075.0,3464.0,3233.0,2.44
783.0,Heathrow Terminal 5,5451.0,4889.0,5993.0,4630.0,4207.0,4456.0,3.64
784.0,Southwark,20385.0,8471.0,5606.0,20635.0,9515.0,5644.0,11.98
787.0,Bermondsey,13039.0,9210.0,6393.0,12012.0,8347.0,6296.0,8.0
788.0,Canada Water,15956.0,13969.0,10258.0,15928.0,13398.0,10675.0,10.72
789.0,North Greenwich,34450.0,30255.0,21166.0,37528.0,33877.0,23340.0,24.17
852.0,Canary Wharf,83213.0,29831.0,20216.0,85122.0,29358.0,20063.0,48.04
884.0,Canning Town,13491.0,11624.0,8130.0,12840.0,10428.0,7625.0,8.74
